Town,Year,Town Code,Number of Returns,Percent Affordable,Affordability Score,IIE Score,County
Middletown,2011,83,20105,22.26,62.58082653921845,71.0647230616452,Middlesex
Milford,2011,84,24874,6.08,17.09305594602193,86.72790312168007,New Haven
Monroe,2011,85,8418,0.8,2.249086308687096,88.4940600748162,Fairfield
Montville,2011,86,8111,3.89,10.936182175991004,66.01286396389908,New London
Morris,2011,87,999,1.67,4.6949676693843125,83.97743446891424,Litchfield
Naugatuck,2011,88,14030,8.16,22.940680348608378,61.254224814628266,New Haven
New Britain,2011,89,29407,19.82,55.7211132977228,22.027008751001574,Hartford
New Canaan,2011,90,7852,2.42,6.803486083778465,100.0,Fairfield
New Fairfield,2011,91,5921,0.63,1.7711554680910881,80.51945914733693,Fairfield
New Hartford,2011,92,3095,2.16,6.0725330334551595,87.40315991997092,Litchfield
New Haven,2011,93,45589,29.0,81.52937868990723,51.40000662385369,New Haven
Newington,2011,94,14833,7.01,19.70761877987068,66.07973561531088,Hartford
New London,2011,95,10432,19.87,55.86168119201575,48.11263684057425,New London
New Milford,2011,96,12173,4.92,13.83188079842564,77.46198523663661,Litchfield
Newtown,2011,97,11169,1.72,4.835535563677256,90.5594844947314,Fairfield
Norfolk,2011,98,768,3.21,9.024458813606973,82.98836992142621,Litchfield
North Branford,2011,99,6729,2.17,6.1006466123137475,79.39540217804252,New Haven
North Canaan,2011,100,261,6.81,19.145347202698904,44.1469532182198,Litchfield
North Haven,2011,101,11169,4.71,13.241495642395277,83.6700620544776,New Haven
North Stonington,2011,102,2338,0.78,2.1928591509699187,77.07143524173833,New London
Norwalk,2011,103,38172,11.37,31.965139162215348,78.07235282053279,Fairfield
Norwich,2011,104,16984,16.77,47.14647174585325,43.554059052162884,New London
Old Lyme,2011,105,3629,1.37,3.851560303626652,91.39882639333176,New London
Old Saybrook,2011,106,4865,1.27,3.5704245150407647,87.74995509299106,Middlesex
Orange,2011,107,6307,1.1,3.092493674444757,92.15974086901765,New Haven
Oxford,2011,108,5518,0.95,2.6707899915659263,84.57560341525421,New Haven
Plainfield,2011,109,6248,13.87,38.99353387686252,49.6215404218799,Windham
Plainville,2011,110,8567,7.47,21.000843407365757,70.28129865280317,Hartford
Plymouth,2011,111,5585,6.38,17.93646331177959,68.74569620614429,Litchfield
Pomfret,2011,112,1817,2.67,7.5063255552431825,80.45811502203267,Windham
Portland,2011,113,4295,7.95,22.350295192578017,81.45118333174615,Middlesex
Preston,2011,114,2085,3.81,10.711273545122294,76.0605926103459,New London
Prospect,2011,115,4274,0.75,2.1085184143941524,80.1921245111057,New Haven
Putnam,2011,116,3876,12.75,35.844813044700594,43.435125290313785,Windham
Redding,2011,117,3863,0.0,0.0,95.4566945046407,Fairfield
Ridgefield,2011,118,9698,2.2,6.184987348889514,97.23015216987855,Fairfield
Rocky Hill,2011,119,9366,4.89,13.747540061849874,83.1133990462522,Hartford
Roxbury,2011,120,994,1.71,4.807421984818667,94.59776935352899,Litchfield
Salem,2011,121,1841,1.59,4.470059038515603,84.24277852835424,New London
Salisbury,2011,122,1581,1.16,3.2611751475962887,86.6631308379578,Litchfield
Scotland,2011,123,328,1.32,3.7109924093337083,72.56682882481965,Windham
Seymour,2011,124,7385,5.31,14.928310373910598,74.84048234052155,New Haven
Sharon,2011,125,999,1.41,3.964014619061006,91.01819107251777,Litchfield
Shelton,2011,126,18060,2.69,7.56255271296036,81.38657343912524,Fairfield
Sherman,2011,127,1598,0.11,0.3092493674444757,83.56320213467639,Fairfield
Simsbury,2011,128,9940,3.41,9.586730390778747,93.10173742330798,Hartford
Somers,2011,129,4211,2.21,6.213100927748102,83.3627133188038,Tolland
Southbury,2011,130,8705,1.13,3.176834411020523,86.30208778136087,New Haven
Southington,2011,131,19453,5.63,15.827944897385438,85.21697623745229,Hartford
South Windsor,2011,132,11848,6.98,19.623278043294913,85.67042363397387,Hartford
Sprague,2011,133,1488,4.73,13.297722800112457,55.84841094663429,New London
Stafford,2011,134,5142,6.44,18.105144784931124,66.5335279314632,Tolland
Stamford,2011,135,55567,15.41,43.323025021085186,83.66408371498584,Fairfield
Sterling,2011,136,1364,2.18,6.128760191172337,50.780219042447484,Windham
Stonington,2011,137,12160,3.81,10.711273545122294,83.24214513253271,New London
Stratford,2011,138,23784,5.6,15.74360416080967,68.32271453941127,Fairfield
