Town,Year,Town Code,Number of Returns,Percent Affordable,Affordability Score,IIE Score,County
Canaan,2013,21,1740,4.62,12.222222222222223,59.04618619116353,Litchfield
Canterbury,2013,22,2277,7.15,18.915343915343918,70.11650881451652,Windham
Canton,2013,23,4590,7.49,19.814814814814817,91.67893986634166,Hartford
Chaplin,2013,24,987,2.83,7.486772486772487,66.18695708520954,Windham
Cheshire,2013,25,12021,3.23,8.544973544973546,90.68876741644809,New Haven
Chester,2013,26,1756,1.98,5.238095238095238,87.78567143958708,Middlesex
Clinton,2013,27,6151,2.26,5.978835978835979,81.21624300209606,Middlesex
Colchester,2013,28,7215,8.41,22.24867724867725,81.23425974583851,New London
Colebrook,2013,29,346,1.25,3.306878306878307,87.1286570155897,Litchfield
Columbia,2013,30,2553,3.73,9.867724867724869,84.20061181614558,Tolland
Cornwall,2013,31,721,2.38,6.296296296296296,83.97879565017814,Litchfield
Coventry,2013,32,5645,6.02,15.925925925925926,82.01394527777614,Tolland
Cromwell,2013,33,6859,6.97,18.43915343915344,83.4268384076384,Middlesex
Danbury,2013,34,34710,10.93,28.915343915343914,59.98625602066927,Fairfield
Darien,2013,35,8052,2.62,6.931216931216932,99.27848876616875,Fairfield
Deep River,2013,36,2117,2.77,7.328042328042328,86.79147320958357,Middlesex
Derby,2013,37,5700,10.84,28.677248677248677,60.00401061082469,New Haven
Durham,2013,38,3285,2.08,5.502645502645503,91.75674244315469,Middlesex
Eastford,2013,39,673,3.15,8.333333333333334,74.6368551862926,Windham
East Granby,2013,40,2488,5.25,13.88888888888889,85.00494039850709,Hartford
East Haddam,2013,41,3652,2.57,6.798941798941799,83.8484923080704,Middlesex
East Hampton,2013,42,5964,3.65,9.656084656084657,78.03365435704552,Middlesex
East Hartford,2013,43,23433,16.65,44.047619047619044,51.57843702605149,Hartford
East Haven,2013,44,13149,6.84,18.095238095238095,68.42362202967828,New Haven
East Lyme,2013,45,8092,5.59,14.788359788359788,83.55897387179837,New London
Easton,2013,46,3158,0.41,1.0846560846560847,93.94834992431277,Fairfield
East Windsor,2013,47,5416,14.83,39.232804232804234,78.2939299017589,Hartford
Ellington,2013,48,7273,5.9,15.60846560846561,84.31066840648636,Tolland
Enfield,2013,49,19401,12.21,32.301587301587304,64.17420877732795,Hartford
Essex,2013,50,3132,1.69,4.470899470899471,91.70009551804512,Middlesex
Fairfield,2013,51,23967,2.64,6.984126984126985,94.16102987358914,Fairfield
Farmington,2013,52,11776,7.73,20.449735449735453,92.28720452716972,Hartford
Franklin,2013,53,871,2.72,7.195767195767196,79.12452805645046,New London
Glastonbury,2013,54,15423,5.53,14.629629629629632,92.86412092142243,Hartford
Goshen,2013,55,1306,0.48,1.2698412698412698,88.96541789483044,Litchfield
Granby,2013,56,4952,3.49,9.232804232804234,88.56206418121607,Hartford
Greenwich,2013,57,26551,5.13,13.571428571428571,99.43542628549059,Fairfield
Griswold,2013,58,5378,8.13,21.50793650793651,60.39860250826209,New London
Groton,2013,59,10947,20.53,54.31216931216932,63.56058441642738,New London
Guilford,2013,60,9790,2.25,5.9523809523809526,93.87426333496244,New Haven
Haddam,2013,61,3863,1.26,3.3333333333333335,85.84114415257292,Middlesex
Hamden,2013,62,24895,6.73,17.804232804232807,75.3035484424241,New Haven
Hampton,2013,63,1058,4.04,10.687830687830688,73.21548203792737,Windham
Hartford,2013,64,47559,37.8,100.0,1.4210854715202004e-14,Hartford
Hartland,2013,65,782,1.4,3.7037037037037037,82.1275670355906,Hartford
Harwinton,2013,66,2456,2.5,6.613756613756614,85.15933303120075,Litchfield
Hebron,2013,67,4112,3.03,8.015873015873016,88.55472540758875,Tolland
Kent,2013,68,1275,1.68,4.444444444444445,79.95580017407161,Litchfield
Killingly,2013,69,7498,14.94,39.523809523809526,47.12905383732863,Windham
Killingworth,2013,70,2764,0.65,1.7195767195767198,91.78104247481282,Middlesex
Lebanon,2013,71,3143,3.49,9.232804232804234,77.13930323020618,New London
Ledyard,2013,72,6655,4.41,11.666666666666668,75.53674474455335,New London
Lisbon,2013,73,1631,3.82,10.105820105820106,63.19126928185739,New London
Litchfield,2013,74,3771,4.68,12.380952380952381,86.21675610049222,Litchfield
Lyme,2013,75,943,0.82,2.1693121693121693,98.07002912260093,New London
Madison,2013,76,7811,1.62,4.2857142857142865,95.36175946425587,New Haven
Manchester,2013,77,27606,14.88,39.36507936507937,67.26506074040483,Hartford
Mansfield,2013,78,5361,11.3,29.894179894179896,82.17477249453967,Tolland
Marlborough,2013,79,2754,2.22,5.8730158730158735,87.07492184914776,Hartford
Meriden,2013,80,26513,14.8,39.15343915343916,52.26578144556874,New Haven
Middlebury,2013,81,3330,3.73,9.867724867724869,90.53469981602373,New Haven
Middlefield,2013,82,2037,2.36,6.243386243386243,83.43073317952798,Middlesex
Middletown,2013,83,20489,23.39,61.87830687830688,71.4572898328897,Middlesex
Milford,2013,84,25244,6.18,16.349206349206348,88.11979655599788,New Haven
Monroe,2013,85,8564,0.85,2.248677248677249,90.69068995471284,Fairfield
Montville,2013,86,8143,5.04,13.333333333333334,66.53359672006664,New London
Morris,2013,87,1038,1.75,4.62962962962963,85.30732625085294,Litchfield
Naugatuck,2013,88,14099,8.4,22.222222222222225,60.8151060714955,New Haven
New Britain,2013,89,29970,20.71,54.78835978835979,23.76535782316452,Hartford
New Canaan,2013,90,8128,2.71,7.169312169312169,100.0,Fairfield
New Fairfield,2013,91,5945,0.88,2.328042328042328,79.85289467134403,Fairfield
New Hartford,2013,92,3162,2.39,6.322751322751324,85.24182631686956,Litchfield
New Haven,2013,93,48136,29.63,78.38624338624338,49.06629174814357,New Haven
Newington,2013,94,15090,7.35,19.444444444444443,66.64791895979246,Hartford
New London,2013,95,10567,20.11,53.2010582010582,45.655228651572706,New London
New Milford,2013,96,12526,5.8,15.343915343915343,76.82999052286078,Litchfield
Newtown,2013,97,11318,1.85,4.894179894179895,91.21682940648809,Fairfield
Norfolk,2013,98,730,3.21,8.492063492063492,85.30165893688792,Litchfield
North Branford,2013,99,6812,2.33,6.164021164021165,82.1578288659447,New Haven
North Canaan,2013,100,346,6.87,18.174603174603174,58.387891092644004,Litchfield
North Haven,2013,101,11400,4.72,12.486772486772486,85.82421145380437,New Haven
North Stonington,2013,102,2355,1.26,3.3333333333333335,80.81635378300072,New London
Norwalk,2013,103,40307,11.62,30.74074074074074,79.58688338227952,Fairfield
Norwich,2013,104,17105,17.42,46.08465608465609,41.579502978821274,New London
Old Lyme,2013,105,3634,1.49,3.941798941798942,92.72649275786435,New London
Old Saybrook,2013,106,4953,1.64,4.338624338624339,87.16742753655222,Middlesex
Orange,2013,107,6365,1.23,3.253968253968254,91.85346669020026,New Haven
Oxford,2013,108,5516,1.07,2.830687830687831,86.66860875385514,New Haven
Plainfield,2013,109,6337,15.86,41.957671957671955,49.07743852580472,Windham
Plainville,2013,110,8540,7.44,19.682539682539684,71.0499836455592,Hartford
Plymouth,2013,111,5572,7.11,18.80952380952381,69.68993973636933,Litchfield
Pomfret,2013,112,1826,3.68,9.735449735449736,79.71404663798131,Windham
Portland,2013,113,4357,8.31,21.984126984126988,81.58780379613628,Middlesex
Preston,2013,114,2051,4.51,11.93121693121693,75.7690939209339,New London
Prospect,2013,115,4375,1.09,2.8835978835978837,82.2832266278512,New Haven
Putnam,2013,116,3962,15.4,40.74074074074074,40.02086126251042,Windham
Redding,2013,117,3929,0.0,0.0,96.8129822607603,Fairfield
Ridgefield,2013,118,9918,2.44,6.455026455026455,96.372088567695,Fairfield
Rocky Hill,2013,119,9577,5.02,13.28042328042328,85.02695969671753,Hartford
Roxbury,2013,120,978,1.8,4.761904761904762,94.92087841472812,Litchfield
Salem,2013,121,1882,2.14,5.661375661375662,86.56818347900267,New London
Salisbury,2013,122,1662,1.31,3.465608465608466,86.34957328674268,Litchfield
Scotland,2013,123,349,2.35,6.216931216931218,64.77285526415622,Windham
Seymour,2013,124,7612,5.47,14.47089947089947,74.76615745550491,New Haven
Sharon,2013,125,1027,1.35,3.5714285714285716,92.16398872645887,Litchfield
Shelton,2013,126,18754,2.75,7.275132275132275,81.56103374283401,Fairfield
Sherman,2013,127,1579,0.22,0.582010582010582,86.43450102807653,Fairfield
Simsbury,2013,128,10425,3.44,9.100529100529101,93.11868351576898,Hartford
Somers,2013,129,4312,5.23,13.835978835978837,84.71722543614916,Tolland
Southbury,2013,130,8812,1.25,3.306878306878307,86.29558989876715,New Haven
Southington,2013,131,19751,5.71,15.105820105820106,84.6689197181793,Hartford
South Windsor,2013,132,11932,7.03,18.597883597883598,86.45798248570645,Hartford
Sprague,2013,133,1477,5.13,13.571428571428571,58.24069270571579,New London
Stafford,2013,134,5398,7.55,19.973544973544975,67.23045507997746,Tolland
Stamford,2013,135,58528,16.05,42.46031746031746,87.60440249448386,Fairfield
Sterling,2013,136,1373,4.1,10.846560846560847,49.567062682911704,Windham
Stonington,2013,137,12376,4.0,10.582010582010582,84.06336053635653,New London
Stratford,2013,138,24077,5.74,15.185185185185187,69.79872526545999,Fairfield
Suffield,2013,139,6135,5.43,14.365079365079366,87.40864067644009,Hartford
Thomaston,2013,140,3605,6.9,18.253968253968257,74.91188409312377,Litchfield
Thompson,2013,141,4051,7.74,20.476190476190478,39.61487406108559,Windham
Tolland,2013,142,6603,3.87,10.238095238095239,88.19925526653537,Tolland
Torrington,2013,143,15855,12.67,33.51851851851852,60.838246795505036,Litchfield
Trumbull,2013,144,15420,5.15,13.624338624338625,89.72675848461984,Fairfield
Union,2013,145,284,4.12,10.8994708994709,77.19667588569857,Tolland
Vernon,2013,146,13971,16.59,43.88888888888889,69.26289301946991,Tolland
Voluntown,2013,147,1164,4.7,12.433862433862435,65.36132020213768,New London
Wallingford,2013,148,21279,5.1,13.492063492063492,79.07716686381615,New Haven
Warren,2013,149,407,0.99,2.619047619047619,93.05299103061763,Litchfield
Washington,2013,150,1811,1.79,4.735449735449736,93.73831951600462,Litchfield
Waterbury,2013,151,45088,23.31,61.666666666666664,19.768923971279094,New Haven
Waterford,2013,152,9303,4.52,11.957671957671957,80.2985803287811,New London
Watertown,2013,153,10194,4.12,10.8994708994709,79.05920391100713,Litchfield
Westbrook,2013,154,3145,4.75,12.566137566137566,81.52018722841709,Middlesex
West Hartford,2013,155,27995,8.09,21.402116402116402,87.98885275738297,Hartford
West Haven,2013,156,23766,13.66,36.13756613756614,63.02560152084752,New Haven
Weston,2013,157,3893,0.03,0.07936507936507936,99.45472583769437,Fairfield
Westport,2013,158,11403,2.75,7.275132275132275,98.72001500830669,Fairfield
Wethersfield,2013,159,12873,8.42,22.275132275132275,81.46779503780527,Hartford
Willington,2013,160,2597,8.04,21.26984126984127,77.89097825490816,Tolland
Wilton,2013,161,7272,3.81,10.079365079365079,98.28513521647503,Fairfield
Winchester,2013,162,5004,13.09,34.62962962962963,61.26311679075014,Litchfield
Windham,2013,163,9169,29.0,76.71957671957672,30.100818660140547,Windham
Windsor,2013,164,14292,7.32,19.365079365079367,74.82357023229798,Hartford
Windsor Locks,2013,165,6254,9.25,24.47089947089947,67.71689988751965,Hartford
Wolcott,2013,166,7446,7.11,18.80952380952381,76.73469578559289,New Haven
Woodbridge,2013,167,4055,1.12,2.9629629629629632,95.65404877310378,New Haven
Woodbury,2013,168,4489,1.95,5.158730158730159,89.07510488751045,Litchfield
Woodstock,2013,169,3514,3.18,8.412698412698413,74.54786498583496,Windham
Andover,2014,1,1495,4.33,11.427817366059646,81.22297873952361,Tolland
Ansonia,2014,2,8447,13.92,36.737925574030086,49.72294460040168,New Haven
Ashford,2014,3,2056,4.41,11.63895486935867,72.56591914401237,Windham
Avon,2014,4,8350,3.76,9.923462655054104,96.32831816690032,Hartford
Barkhamsted,2014,5,1765,1.07,2.823964106624439,82.71676702891637,Litchfield
Beacon Falls,2014,6,2827,1.32,3.4837688044338875,79.7728771441591,New Haven
Berlin,2014,7,9997,8.59,22.670889416732646,83.28695947122024,Hartford
Bethany,2014,8,2415,0.15,0.39588281868566905,90.74690274695678,New Haven
Bethel,2014,9,8554,5.43,14.330958036421219,77.79242393294632,Fairfield
Bethlehem,2014,10,1675,1.59,4.196357878068092,81.78530080584837,Litchfield
Bloomfield,2014,11,10639,11.65,30.746898917920294,79.52979698014487,Hartford
Bolton,2014,12,2339,1.29,3.4045922406967537,88.48443923036257,Tolland
Bozrah,2014,13,1192,3.4,8.973343890208499,77.68130293356424,New London
Branford,2014,14,14073,3.42,9.026128266033254,86.35420613998895,New Haven
Bridgeport,2014,15,58401,18.78,49.56452889944577,4.22897880413916,Fairfield
Bridgewater,2014,16,765,0.23,0.6070203219846926,95.68771802248038,Litchfield
Bristol,2014,17,28030,13.04,34.41541303774083,63.240982330023854,Hartford
Brookfield,2014,18,7793,2.44,6.439693850620216,87.7694864257943,Fairfield
Brooklyn,2014,19,3352,11.68,30.82607548165743,70.1814378036045,Windham
Burlington,2014,20,4239,1.8,4.750593824228028,89.18502708757339,Hartford
Canaan,2014,21,1733,7.57,19.978886249670097,61.97121074686524,Litchfield
Canterbury,2014,22,2312,7.59,20.031670625494854,65.45334335879942,Windham
Canton,2014,23,4521,7.56,19.95249406175772,91.42035791078897,Hartford
Chaplin,2014,24,967,3.64,9.606756400105569,68.71662989276848,Windham
Cheshire,2014,25,12210,3.68,9.712325151755081,89.96664308139623,New Haven
Chester,2014,26,1827,1.98,5.225653206650831,86.94491263945888,Middlesex
Clinton,2014,27,6189,2.31,6.096595407759303,83.31028190830884,Middlesex
Colchester,2014,28,7314,8.78,23.172340987067827,80.15309026775054,New London
Colebrook,2014,29,338,1.52,4.011612562681446,85.15664319914738,Litchfield
Columbia,2014,30,2575,3.9,10.292953285827394,82.97004631596438,Tolland
Cornwall,2014,31,752,2.28,6.017418844022169,85.28377449259041,Litchfield
Coventry,2014,32,5670,5.88,15.518606492478225,81.85507581055559,Tolland
Cromwell,2014,33,6921,7.13,18.817629981525467,83.978613667696,Middlesex
Danbury,2014,34,35481,10.05,26.524148851939827,59.609801181531374,Fairfield
Darien,2014,35,8306,3.38,8.920559514383742,99.5216937903805,Fairfield
Deep River,2014,36,2169,3.63,9.58036421219319,87.7149367867359,Middlesex
Derby,2014,37,5704,11.25,29.69121140142518,58.92964041288203,New Haven
Durham,2014,38,3322,2.0,5.278437582475587,92.46615814166977,Middlesex
Eastford,2014,39,697,3.03,7.996832937450514,69.63632650126323,Windham
East Granby,2014,40,2521,5.07,13.380839271575613,82.86896014800863,Hartford
East Haddam,2014,41,3693,2.71,7.15228292425442,85.75776025314468,Middlesex
East Hampton,2014,42,5989,3.61,9.527579836368435,85.71272918558029,Middlesex
East Hartford,2014,43,24031,17.38,45.86962259171285,38.0321326051167,Hartford
East Haven,2014,44,13219,7.9,20.84982845077857,67.20533693028644,New Haven
East Lyme,2014,45,8153,6.15,16.231195566112433,85.42993097946143,New London
Easton,2014,46,3183,0.41,1.0820797044074952,97.9078157277781,Fairfield
East Windsor,2014,47,5433,14.57,38.453417788334654,68.92295219678238,Hartford
Ellington,2014,48,7443,5.63,14.858801794668777,85.0333495974852,Tolland
Enfield,2014,49,19468,12.18,32.145684877276324,62.82836911066199,Hartford
Essex,2014,50,3147,1.63,4.301926629717603,92.05553679202497,Middlesex
Fairfield,2014,51,24004,2.24,5.911850092372658,94.60597124279673,Fairfield
Farmington,2014,52,11964,7.96,21.008181578252838,92.54332402046478,Hartford
Franklin,2014,53,907,5.58,14.726840855106888,78.42688770721645,New London
Glastonbury,2014,54,15557,5.46,14.410134600158353,93.37145437671425,Hartford
Goshen,2014,55,1345,0.6,1.5835312747426762,91.14414423407462,Litchfield
Granby,2014,56,4969,3.17,8.366323568223805,89.2730931207307,Hartford
Greenwich,2014,57,26622,4.79,12.641858010029031,99.98549433694589,Fairfield
Griswold,2014,58,5453,8.93,23.568223805753497,59.76601229570545,New London
Groton,2014,59,11213,22.49,59.35603061493797,63.96035122230026,New London
Guilford,2014,60,9894,2.29,6.043811031934547,94.7354284621188,New Haven
Haddam,2014,61,3838,1.34,3.5365531802586436,85.68340254256263,Middlesex
Hamden,2014,62,24998,7.68,20.269200316706254,76.91166709716555,New Haven
Hampton,2014,63,1053,5.55,14.647664291369754,76.46898695470728,Windham
Hartford,2014,64,47872,37.89,100.0,0.0,Hartford
Hartland,2014,65,810,1.29,3.4045922406967537,78.65364511064463,Hartford
Harwinton,2014,66,2485,2.54,6.703615729743996,84.48523694979669,Litchfield
Hebron,2014,67,4140,3.0,7.917656373713381,89.72474880816182,Tolland
Kent,2014,68,1277,3.6,9.501187648456057,85.0915768704248,Litchfield
Killingly,2014,69,7598,14.36,37.89918184217471,45.27870481497046,Windham
Killingworth,2014,70,2811,0.62,1.6363156505674321,94.82051275357395,Middlesex
Lebanon,2014,71,3179,3.81,10.055423594615993,78.43955256356267,New London
Ledyard,2014,72,6586,4.03,10.636051728688308,76.96417549622129,New London
Lisbon,2014,73,1631,3.41,8.999736078120877,71.55710673314218,New London
Litchfield,2014,74,3790,5.08,13.407231459487992,87.5833641549675,Litchfield
Lyme,2014,75,938,0.82,2.1641594088149905,95.54017527198718,New London
Madison,2014,76,7984,1.62,4.275534441805226,94.81805686792363,New Haven
Manchester,2014,77,27961,14.5,38.268672472948005,67.3835341551447,Hartford
Mansfield,2014,78,5449,10.99,29.00501451570335,81.52129402624875,Tolland
Marlborough,2014,79,2844,2.05,5.410398522037476,88.04651554424775,Hartford
Meriden,2014,80,26881,15.97,42.14832409606756,53.20931263369955,New Haven
Middlebury,2014,81,3383,3.98,10.504090789126419,91.26239253665429,New Haven
Middlefield,2014,82,2036,2.47,6.518870414357351,87.0524763120159,Middlesex
Middletown,2014,83,20737,21.96,57.95724465558195,71.20122008320051,Middlesex
Milford,2014,84,25595,5.48,14.46291897598311,87.38297176264646,New Haven
Monroe,2014,85,8693,0.85,2.2433359725521247,89.53404292942999,Fairfield
Montville,2014,86,8204,4.71,12.430720506730008,66.71660899768082,New London
Morris,2014,87,1030,1.9,5.014515703351807,82.25603933982458,Litchfield
Naugatuck,2014,88,14239,9.31,24.57112694642386,60.80091439962492,New Haven
New Britain,2014,89,30428,21.13,55.76669305885458,20.90497232187485,Hartford
New Canaan,2014,90,8103,2.71,7.15228292425442,100.0,Fairfield
New Fairfield,2014,91,6047,0.72,1.9002375296912113,80.78108310136685,Fairfield
New Hartford,2014,92,3186,2.67,7.046714172604909,84.48191411574652,Litchfield
New Haven,2014,93,48156,29.08,76.74848244919504,48.19138778177605,New Haven
Newington,2014,94,15232,8.54,22.538928477170757,76.85373758040247,Hartford
New London,2014,95,10795,24.86,65.61097915017154,28.432954925511154,New London
New Milford,2014,96,12687,3.91,10.319345473739773,76.12575587286541,Litchfield
Newtown,2014,97,11446,1.8,4.750593824228028,91.99855376582828,Fairfield
Norfolk,2014,98,725,4.03,10.636051728688308,82.45555332098682,Litchfield
North Branford,2014,99,6750,2.38,6.281340723145949,84.20210240413599,New Haven
North Canaan,2014,100,365,9.26,24.439166006861967,61.75740698341137,Litchfield
North Haven,2014,101,11563,4.8,12.66825019794141,86.48270170871228,New Haven
North Stonington,2014,102,2359,1.04,2.7447875428873054,77.1829602733317,New London
Norwalk,2014,103,40771,11.83,31.221958300343097,81.4390537658874,Fairfield
Norwich,2014,104,17253,18.14,47.87542887305358,40.22329411722313,New London
Old Lyme,2014,105,3645,1.55,4.0907891264185805,93.69539946259933,New London
Old Saybrook,2014,106,4963,1.71,4.513064133016627,87.9280372958559,Middlesex
Orange,2014,107,6466,1.27,3.351807864871998,90.28894134236388,New Haven
Oxford,2014,108,5578,1.07,2.823964106624439,88.24360482024693,New Haven
Plainfield,2014,109,6409,16.1,42.49142253892848,48.06145527073412,Windham
Plainville,2014,110,8601,7.39,19.503826867247295,71.10234577690038,Hartford
Plymouth,2014,111,5663,8.22,21.694378463974665,71.14269242370897,Litchfield
Pomfret,2014,112,1838,3.62,9.553972024280814,81.71116693730335,Windham
Portland,2014,113,4413,8.12,21.43045658485088,82.57429629868957,Middlesex
Preston,2014,114,2085,4.41,11.63895486935867,71.8670096269204,New London
Prospect,2014,115,4446,1.21,3.19345473739773,82.70760554775927,New Haven
Putnam,2014,116,3953,15.35,40.51200844550013,41.49604829545714,Windham
Redding,2014,117,3965,0.0,0.0,96.38506057975039,Fairfield
Ridgefield,2014,118,10079,2.52,6.65083135391924,96.30069179698536,Fairfield
Rocky Hill,2014,119,9704,5.02,13.248878332013723,85.77487498780702,Hartford
Roxbury,2014,120,999,1.71,4.513064133016627,96.8947499609727,Litchfield
Salem,2014,121,1891,2.14,5.647928213248878,84.99240550112437,New London
Salisbury,2014,122,1646,1.43,3.7740828714700445,86.39469460748033,Litchfield
Scotland,2014,123,346,1.91,5.040907891264186,70.55396463996524,Windham
Seymour,2014,124,7706,5.41,14.278173660596464,74.35984956599309,New Haven
Sharon,2014,125,1029,1.46,3.8532594352071787,93.98510430511814,Litchfield
Shelton,2014,126,18890,3.39,8.94695170229612,81.4167859525198,Fairfield
Sherman,2014,127,1628,0.27,0.7125890736342043,85.25383032176941,Fairfield
Simsbury,2014,128,10515,3.53,9.31644233306941,93.73799748255063,Hartford
Somers,2014,129,4351,5.43,14.330958036421219,86.34549514369742,Tolland
Southbury,2014,130,8952,1.23,3.246239113222486,89.17327080964367,New Haven
Southington,2014,131,20119,5.86,15.465822116653472,83.07702915691102,Hartford
South Windsor,2014,132,12076,6.98,18.4217471628398,86.34037188217098,Hartford
Sprague,2014,133,1442,6.41,16.917392451834257,59.063945639876046,New London
Stafford,2014,134,5455,8.24,21.74716283979942,66.53779640341406,Tolland
Stamford,2014,135,59719,16.24,42.86091316970176,87.35943573371908,Fairfield
Sterling,2014,136,1406,4.43,11.691739245183424,53.65910927535339,Windham
Stonington,2014,137,12428,4.05,10.688836104513063,84.78835325102295,New London
Stratford,2014,138,24512,5.77,15.228292425442067,69.2433732189788,Fairfield
Suffield,2014,139,6159,5.38,14.19899709685933,87.90171261439883,Hartford
Thomaston,2014,140,3619,6.81,17.973079968329372,74.26423242813964,Litchfield
Thompson,2014,141,4142,7.41,19.55661124307205,41.236251775897586,Windham
Tolland,2014,142,6579,3.6,9.501187648456057,88.01243361806763,Tolland
Torrington,2014,143,15895,12.2,32.19846925310108,58.94536531569177,Litchfield
Trumbull,2014,144,15659,5.19,13.69754552652415,89.36813596572863,Fairfield
Union,2014,145,287,3.09,8.155186064924782,88.10672433101757,Tolland
Vernon,2014,146,14244,15.57,41.09263657957245,69.75940460508113,Tolland
Voluntown,2014,147,1157,5.5,14.515703351807865,61.159821342629925,New London
Wallingford,2014,148,21445,4.97,13.116917392451834,78.92523413894313,New Haven
Warren,2014,149,400,0.62,1.6363156505674321,90.03826261097943,Litchfield
Washington,2014,150,1785,2.35,6.202164159408815,94.47671837459376,Litchfield
Waterbury,2014,151,45278,22.71,59.93665874901029,15.31197623685405,New Haven
Waterford,2014,152,9460,4.42,11.665347057271047,79.5552714123094,New London
Watertown,2014,153,10311,4.05,10.688836104513063,78.04644295737864,Litchfield
Westbrook,2014,154,3217,4.78,12.615465822116654,85.48228998714289,Middlesex
West Hartford,2014,155,28107,7.79,20.55951438374241,89.15755961028665,Hartford
West Haven,2014,156,23954,12.94,34.15149115861705,50.762448869657774,New Haven
Weston,2014,157,4072,0.03,0.0791765637371338,99.04886545941659,Fairfield
Westport,2014,158,11477,3.01,7.944048561625758,99.31242228275399,Fairfield
Wethersfield,2014,159,12947,8.39,22.14304565848509,81.50269300021368,Hartford
Willington,2014,160,2662,7.85,20.717867511216678,79.20838579914997,Tolland
Wilton,2014,161,7440,3.86,10.187384534177882,98.27363819514247,Fairfield
Winchester,2014,162,5090,17.44,46.027975719187125,62.53402578534526,Litchfield
Windham,2014,163,9263,31.12,82.13248878332014,31.554947105286857,Windham
Windsor,2014,164,14438,7.46,19.68857218263394,73.50623204611875,Hartford
Windsor Locks,2014,165,6349,8.79,23.1987331749802,66.59027829121206,Hartford
Wolcott,2014,166,7564,7.14,18.844022169437846,76.81929433154329,New Haven
Woodbridge,2014,167,4113,1.18,3.1142781736605962,97.34788665857437,New Haven
Woodbury,2014,168,4528,1.88,4.961731327527052,88.99266607407685,Litchfield
Woodstock,2014,169,3543,2.76,7.28424386381631,76.58464556256256,Windham
Andover,2015,1,1498,4.18,10.323383084577115,81.95561536893857,Tolland
Ansonia,2015,2,8619,14.22,35.29850746268657,47.51173812515869,New Haven
Ashford,2015,3,2112,4.15,10.248756218905475,69.69161191003738,Windham
Avon,2015,4,8361,3.83,9.452736318407961,96.0498261103596,Hartford
Barkhamsted,2015,5,1793,1.26,3.0597014925373136,78.77407547228265,Litchfield
Beacon Falls,2015,6,2820,1.63,3.9800995024875623,78.83465945198611,New Haven
Berlin,2015,7,10021,8.83,21.890547263681594,83.54635314096075,Hartford
Bethany,2015,8,2397,0.34,0.7711442786069653,90.23336090559224,New Haven
Bethel,2015,9,8657,5.06,12.512437810945274,76.74353259073757,Fairfield
Bethlehem,2015,10,1648,1.65,4.029850746268656,82.03019880780073,Litchfield
Bloomfield,2015,11,10750,11.19,27.761194029850746,78.19677662793686,Hartford
Bolton,2015,12,2351,1.24,3.009950248756219,88.6561268067864,Tolland
Bolton,2015,12,2351,1.14,2.7611940298507465,88.6561268067864,Tolland
Bozrah,2015,13,1194,3.12,7.686567164179105,78.09696168638213,New London
Branford,2015,14,14144,3.46,8.532338308457712,85.4231144535084,New Haven
Bridgeport,2015,15,59246,19.89,49.402985074626876,1.4210854715202004e-14,Fairfield
Bridgewater,2015,16,783,0.45,1.0447761194029852,96.24470530781946,Litchfield
Bristol,2015,17,28518,14.22,35.29850746268657,61.91954036620394,Hartford
Brookfield,2015,18,7896,3.37,8.308457711442788,85.38927789559892,Fairfield
Brooklyn,2015,19,3350,11.07,27.46268656716418,66.56063225977275,Windham
Burlington,2015,20,4224,1.95,4.776119402985074,89.94194626793148,Hartford
Canaan,2015,21,1732,6.93,17.16417910447761,65.22887381006149,Litchfield
Canterbury,2015,22,2287,6.8,16.8407960199005,66.15642687500295,Windham
Canton,2015,23,4629,7.56,18.73134328358209,91.44528787757982,Hartford
Chaplin,2015,24,983,3.24,7.985074626865672,70.3348050684038,Windham
Cheshire,2015,25,12241,3.79,9.353233830845772,90.18490950348458,New Haven
Chester,2015,26,1855,2.08,5.099502487562189,86.18974867088241,Middlesex
Clinton,2015,27,6241,2.36,5.796019900497512,81.42123242999659,Middlesex
Colchester,2015,28,7449,8.59,21.29353233830846,80.58899038031304,New London
Colebrook,2015,29,498,1.25,3.0348258706467663,83.21826301151296,Litchfield
Columbia,2015,30,2613,4.51,11.144278606965175,82.34331530220831,Tolland
Cornwall,2015,31,736,3.38,8.333333333333334,81.04406970501049,Litchfield
Coventry,2015,32,5812,5.86,14.502487562189057,78.37393729437903,Tolland
Cromwell,2015,33,7020,7.53,18.65671641791045,83.11523490425671,Middlesex
Danbury,2015,34,35981,10.29,25.52238805970149,56.266470600754,Fairfield
Darien,2015,35,8261,3.36,8.28358208955224,99.3830826454137,Fairfield
Deep River,2015,36,2209,2.58,6.343283582089552,90.63871069355406,Middlesex
Derby,2015,37,5896,11.52,28.582089552238806,55.070449196339816,New Haven
Durham,2015,38,3365,1.93,4.72636815920398,90.07671413792767,Middlesex
Eastford,2015,39,682,2.9,7.1393034825870645,75.0799925148271,Windham
East Granby,2015,40,2472,5.25,12.985074626865673,80.30961305758478,Hartford
East Haddam,2015,41,3797,2.53,6.218905472636815,84.1721000721291,Middlesex
East Hampton,2015,42,6056,3.7,9.129353233830848,82.97567577191151,Middlesex
East Hartford,2015,43,24317,16.33,40.54726368159204,33.23062229421416,Hartford
East Haven,2015,44,13385,8.14,20.174129353233834,65.81261341273432,New Haven
East Lyme,2015,45,8302,6.31,15.621890547263682,84.31198818489601,New London
