Tax Year,Town,Fed AGI,CT AGI,CT Income Tax ,Federal EITC Claimed,Number of EITC Credits Claimed,Amount of EITC Claimed,Percentage By Town
2015,GRISWOLD,15401059,15282800,58606,1591899,769,437145,0.4
2015,GROTON,33012772,32672797,126364,3706628,1773,1022734,0.93
2015,GUILFORD,6337577,6278818,23062,664212,479,182059,0.17
2015,HADDAM,4016822,3991270,19291,380219,241,104561,0.1
2015,HAMDEN,51672773,51437793,203950,5233351,2770,1436714,1.31
2015,HAMPTON,1425513,1422955,5237,159286,89,43805,0.04
2015,HARTFORD,300613236,300192906,1069152,38929343,16283,10649016,9.72
2015,HARTLAND,963684,955233,3852,73433,48,20194,0.02
2015,HARWINTON,2889998,2879061,9923,262342,157,72145,0.07
2015,HEBRON,4035477,4017468,14022,326604,219,89818,0.08
2015,KENT,1696062,1687264,8803,169038,101,46486,0.04
2015,KILLINGLY,23135309,23007536,80666,2388556,1189,655261,0.6
2015,KILLINGWORTH,2032155,2016516,7808,116789,123,32117,0.03
2015,LEBANON,4437387,4411014,16394,398294,235,109532,0.1
2015,LEDYARD,12054585,11701224,44616,1092287,593,300381,0.27
2015,LISBON,3196415,3180247,9246,296793,170,81618,0.07
2015,LITCHFIELD,4457677,4428664,19253,398300,266,109533,0.1
2015,LYME,626893,625101,2759,68053,52,18715,0.02
2015,MADISON,4592056,4542348,13628,362795,284,101852,0.09
2015,MANCHESTER,76288105,76057149,285228,8138268,3954,2238110,2.04
2015,MANSFIELD,7398470,7379773,26113,670931,397,185700,0.17
2015,MARLBOROUGH,2859698,2828144,13470,224533,149,61747,0.06
2015,MERIDEN,97386331,97112068,358963,11450822,5030,3152730,2.88
2015,MIDDLEBURY,2601024,2582957,10945,238040,135,65462,0.06
2015,MIDDLEFIELD,2315511,2289347,9671,194545,121,53501,0.05
2015,MIDDLETOWN,47796068,47699047,174846,5196886,2640,1427508,1.3
2015,MILFORD,30087435,29851205,100121,2979476,1788,820297,0.75
2015,MONROE,7051108,6377407,23635,609015,404,166867,0.15
2015,MONTVILLE,20642225,20466636,76643,1991497,1005,544507,0.5
2015,MORRIS,1712486,1701451,5682,175630,97,48300,0.04
2015,NAUGATUCK,38928033,38765179,131816,4172803,2001,1147509,1.05
2015,NEW BRITAIN,151110125,150800594,525028,18865058,7943,5172311,4.72
2015,NEW CANAAN,1542375,1527078,9346,285613,196,78544,0.07
2015,NEW FAIRFIELD,6404205,6345652,23324,488075,308,134220,0.12
2015,NEW HARTFORD,4382510,4359003,13693,383438,245,105161,0.1
2015,NEW HAVEN,220225931,219858651,786249,28134167,12420,7721579,7.05
2015,NEWINGTON,22883848,22774511,83481,2043525,1188,561961,0.51
2015,NEW LONDON,53678736,53550182,175431,6781878,2984,1864261,1.7
2015,NEW MILFORD,20524502,20434993,70724,1986086,1115,545378,0.5
2015,NEWTOWN,9635462,9541993,29226,782766,540,216978,0.2
2015,NORFOLK,1000557,993196,4715,92451,70,24910,0.02
2015,NORTH BRANFORD,6678839,6651750,26503,624390,389,171709,0.16
2015,NORTH CANAAN,974588,969208,3012,76181,46,20950,0.02
2015,NORTH HAVEN,12312157,12227584,49038,1147891,767,315674,0.29
2015,NORTH STONINGTON,3310599,3303285,16015,295131,170,81162,0.07
2015,NORWALK,85811314,85518744,316409,8798765,4701,2420332,2.21
2015,NORWICH,71876821,71681856,232327,8854611,3838,2428436,2.22
2015,OLD LYME,3545433,3519551,11369,310329,212,85342,0.08
2015,OLD SAYBROOK,2177578,2134784,17468,476066,262,130920,0.12
2015,ORANGE,4643174,4607268,12548,429124,279,116331,0.11
2015,OXFORD,4903900,4868290,16031,399782,274,109941,0.1
2015,PLAINFIELD,19294823,19229860,70401,1994264,963,549948,0.5
2015,PLAINVILLE,16030367,15881430,56932,1408361,804,388422,0.35
2015,PLYMOUTH,10518571,10449166,37952,1048483,549,288334,0.26
2015,POMFRET,2857445,2833451,11583,251009,143,69029,0.06
2015,PORTLAND,5564954,5556887,22205,565044,299,155389,0.14
2015,PRESTON,3112051,3091582,13597,292818,171,80525,0.07
2015,PROSPECT,5380572,5351207,16655,447796,290,123145,0.11
2015,PUTNAM,13383103,13336936,51773,1419998,712,390876,0.36
2015,REDDING,1790326,1782438,4600,157302,128,43259,0.04
2015,RIDGEFIELD,4188613,4161511,12625,430919,305,117533,0.11
2015,ROCKY HILL,9732849,9709954,39149,870891,516,237526,0.22
2015,ROXBURY,748123,746485,1854,80216,43,21801,0.02
2015,SALEM,2300209,2252121,7068,224487,122,63178,0.06
2015,SALISBURY,1884879,1883210,6033,194680,120,53537,0.05
2015,SCOTLAND,392372,392372,1282,28486,18,7833,0.01
2015,SEYMOUR,14762704,14721779,54369,1409766,772,388202,0.35
2015,SHARON,1245367,1244544,1624,136318,83,38850,0.04
2015,SHELTON,24308643,24176262,84553,2344842,1369,647600,0.59
2015,SHERMAN,1431169,1407503,2994,153361,78,42175,0.04
2015,SIMSBURY,7957803,7906938,26707,748821,448,204515,0.19
2015,SOMERS,4560422,4540140,17082,414537,251,113999,0.1
2015,SOUTHBURY,6165104,6123500,23015,528121,375,145234,0.13
2015,SOUTHINGTON,25947288,25810829,109413,2333345,1436,641678,0.59
2015,SOUTH WINDSOR,11209771,11150100,45868,1008639,591,277378,0.25
2015,SPRAGUE,4482582,4441729,17626,497481,223,136808,0.12
2015,STAFFORD,11849777,11820825,47543,1119490,600,306852,0.28
2015,STAMFORD,118097422,117729584,418669,11908415,6358,3273594,2.99
2015,STERLING,3254006,3246077,13881,317045,170,86915,0.08
2015,STONINGTON,16735891,16628326,44897,1639295,918,453426,0.41
2015,STRATFORD,56364764,56158680,205123,5831527,2917,1601393,1.46
2015,SUFFIELD,5507952,5462584,17630,554386,328,152464,0.14
2015,THOMASTON,6806068,6780509,25322,588156,355,161013,0.15
2015,THOMPSON,8892621,8832310,19670,808286,437,221475,0.2
2015,TOLLAND,5214068,5160250,19509,444704,288,122294,0.11
2015,TORRINGTON,44850464,44700417,151191,4770309,2417,1311456,1.2
2015,TRUMBULL,14244590,14165627,53795,1223069,776,338392,0.31
2015,UNION,179413,179625,1894,13610,9,3743,0
2015,VERNON,32333315,32199751,120488,3391200,1707,931464,0.85
2015,VOLUNTOWN,2360192,2356790,7741,214295,129,58931,0.05
2015,WALLINGFORD,32138138,32015109,118700,2993883,1703,823667,0.75
2015,WARREN,408362,407523,870,41537,27,11423,0.01
2015,WASHINGTON,1915052,1906610,7128,180691,123,49690,0.05
2015,WATERBURY,231298878,230803550,699145,29792945,12416,8175218,7.46
2015,WATERFORD,13973471,13895219,59523,1273388,746,350181,0.32
2015,WATERTOWN,18108278,18036193,60323,1648296,918,453288,0.41
2015,WESTBROOK,3973133,3942603,16073,369581,250,101635,0.09
2015,WEST HARTFORD,38358914,38213479,124092,4122376,2155,1135202,1.04
2015,WEST HAVEN,79845391,79623873,277800,9029552,4250,2482253,2.27
2015,WESTON,447287,429409,3495,142632,108,39225,0.04
2015,WESTPORT,4801684,4786231,18728,488182,361,134250,0.12
2015,WETHERSFIELD,19704301,19633698,68705,1884329,1039,519719,0.47
2015,WILLINGTON,3178135,3170300,11503,342600,182,94218,0.09
2015,WILTON,2731906,2708488,11839,266361,194,74495,0.07
2015,WINCHESTER,13049937,12983892,45529,1360962,701,372396,0.34
2015,WINDHAM,42525733,42370806,143475,5104730,2248,1402957,1.28
2015,WINDSOR,29843580,29681452,121324,2804338,1509,772590,0.71
2015,WINDSOR LOCKS,12951312,12896348,51782,1190660,663,326403,0.3
2015,WOLCOTT,11843652,11769350,37542,1120440,635,308124,0.28
2015,WOODBRIDGE,2377982,2362923,8637,245363,153,67476,0.06
2015,WOODBURY,5134519,5105295,16411,423319,281,116413,0.11
2015,WOODSTOCK,5401282,5350531,16491,480474,270,132131,0.12
2014,ANDOVER,1542735,1533343,4361,157460,86,43301,0.04
2014,ANSONIA,28176194,28088317,100995,3262741,1530,894314,0.83
2014,ASHFORD,4358689,4350806,12432,427200,222,117480,0.11
2014,AVON,4818318,4784326,16929,383829,278,106463,0.1
2014,BARKHAMSTED,1880812,1874487,7011,150252,100,41319,0.04
2014,BEACON FALLS,4337309,4266708,17111,330982,219,91018,0.08
2014,BERLIN,10536487,10487651,34774,973957,575,268746,0.25
2014,BETHANY,2002239,1994963,6143,184749,119,50806,0.05
2014,BETHEL,12045153,11944448,41015,1148150,653,315700,0.29
2014,BETHLEHEM,1670137,1661587,5913,167443,101,46097,0.04
2014,BLOOMFIELD,23842566,23693788,96455,2212167,1243,608345,0.57
2014,BOLTON,2201017,2180370,7367,175457,123,48251,0.04
2014,BOZRAH,2081551,2079073,5874,196643,115,54077,0.05
2014,BRANFORD,18406097,18273245,58148,1708420,1102,469769,0.44
2014,BRIDGEPORT,295757850,294794849,878480,37051743,16074,10180249,9.47
2014,BRIDGEWATER,479463,479463,1262,32965,31,9065,0.01
2014,BRISTOL,71087832,70781984,242141,7713294,3701,2117728,1.97
2014,BROOKFIELD,8345316,8296207,28603,663580,460,182484,0.17
2014,BROOKLYN,7270979,7202549,24749,712258,394,195154,0.18
2014,BURLINGTON,3842665,3770631,13191,323929,194,89080,0.08
2014,CANAAN,4315194,4301853,12271,423533,229,116471,0.11
2014,CANTERBURY,4620117,4588295,15336,456478,234,125520,0.12
2014,CANTON,3579055,3564277,11203,336513,228,92541,0.09
2014,CHAPLIN,2291881,2281870,7176,215811,121,59348,0.06
2014,CHESHIRE,10397575,10322613,28068,946291,588,260798,0.24
2014,CHESTER,2349766,2332369,9573,233550,149,63921,0.06
2014,CLINTON,9002632,8961896,29255,869221,520,238467,0.22
2014,COLCHESTER,11178726,11040190,43412,1058123,580,289368,0.27
2014,COLEBROOK,445584,445374,2240,37115,25,10206,0.01
2014,COLUMBIA,3019271,3007540,10332,255638,159,70302,0.07
2014,CORNWALL,1293313,1292282,3668,144514,79,39740,0.04
2014,COVENTRY,7945890,7893880,26658,695924,433,191377,0.18
2014,CROMWELL,7733623,7711988,30121,770818,441,211975,0.2
2014,DANBURY,93587760,93333179,301970,9573767,4749,2630473,2.45
2014,DARIEN,2101244,2091827,11209,323825,197,88166,0.08
2014,DEEP RIVER,3176153,3167151,12917,298605,197,82115,0.08
2014,DERBY,16766656,16710582,51026,1833809,893,503517,0.47
2014,DURHAM,2155706,2128254,6108,183479,135,50457,0.05
2014,EASTFORD,1088643,1103266,2886,114015,56,31354,0.03
2014,EAST GRANBY,2737772,2727745,8782,266206,146,73041,0.07
2014,EAST HADDAM,5153923,5088136,15087,425689,261,116830,0.11
2014,EAST HAMPTON,6890638,6850858,22673,560943,368,154259,0.14
2014,EAST HARTFORD,99268404,98968799,346931,10871523,4997,2984347,2.78
2014,EAST HAVEN,29440333,29305387,98150,2921595,1587,802398,0.75
2014,EAST LYME,10455935,10422416,35560,1003318,569,275025,0.26
2014,EASTON,932958,927368,4180,116187,102,31952,0.03
2014,EAST WINDSOR,10202829,10155259,32053,1069427,552,293829,0.27
2014,ELLINGTON,8052595,7987621,28167,717286,418,197255,0.18
2014,ENFIELD,36529367,36364526,122744,3852077,1981,1058704,0.98
2014,ESSEX,2928118,2914558,11750,268652,162,73880,0.07
2014,FAIRFIELD,19219749,19115729,57516,1935434,1219,532772,0.5
2014,FARMINGTON,10787756,10735555,35142,977755,606,268881,0.25
2014,FRANKLIN,1095649,1082861,4276,89430,53,24593,0.02
2014,GLASTONBURY,13065085,13019434,45265,1170804,729,321974,0.3
2014,GOSHEN,1641473,1639360,4895,121077,86,33296,0.03
2014,GRANBY,3752377,3747411,15201,327207,205,89983,0.08
2014,GREENWICH,18502635,18458740,74682,2148497,1344,591375,0.55
2014,GRISWOLD,15045776,14959608,53978,1541410,773,423889,0.39
2014,GROTON,32967423,32752171,121091,3685703,1778,1013677,0.94
2014,GUILFORD,7093905,7045635,25539,638723,493,175649,0.16
2014,HADDAM,4670705,4621216,19076,388516,232,106841,0.1
2014,HAMDEN,48929553,48718431,170801,4984092,2697,1371998,1.28
2014,HAMPTON,1787165,1767554,6120,176816,93,48625,0.05
2014,HARTFORD,291973015,291512858,947695,38634416,16095,10589329,9.85
2014,HARTLAND,914540,911418,3226,97203,55,26730,0.02
2014,HARWINTON,2558887,2549700,9587,215950,134,59386,0.06
2014,HEBRON,4550023,4523289,16791,335093,238,92151,0.09
2014,KENT,1171620,1156041,6876,170440,114,46872,0.04
2014,KILLINGLY,22838469,22729305,75629,2413275,1204,662972,0.62
2014,KILLINGWORTH,1698826,1686515,4995,112587,120,30506,0.03
2014,LEBANON,4152284,4131360,12858,394422,234,108463,0.1
2014,LEDYARD,12308677,12036909,43964,1137077,635,312698,0.29
2014,LISBON,2726227,2707539,5730,281295,145,77356,0.07
2014,LITCHFIELD,4434334,4403032,13404,417770,260,114886,0.11
2014,LYME,495873,492937,1526,51317,41,14112,0.01
2014,MADISON,4355054,4325741,10957,404835,292,111327,0.1
2014,MANCHESTER,75181995,74972670,262741,7912861,3979,2174334,2.02
2014,MANSFIELD,7090251,7056491,25612,655151,383,180421,0.17
2014,MARLBOROUGH,2572765,2558620,8875,240152,143,64997,0.06
2014,MERIDEN,96620988,96333111,327296,11239922,5033,3088809,2.87
2014,MIDDLEBURY,2999530,2969062,13098,254371,152,70403,0.07
2014,MIDDLEFIELD,1894127,1872395,4622,150192,108,41303,0.04
2014,MIDDLETOWN,46286733,46143074,161255,5228223,2641,1435471,1.34
2014,MILFORD,31175884,31001269,104605,3032500,1823,834439,0.78
2014,MONROE,7290620,7236074,24816,619974,405,170493,0.16
2014,MONTVILLE,19244054,19160932,65181,1948361,1002,535775,0.5
2014,MORRIS,1489782,1484047,2915,158586,89,43612,0.04
2014,NAUGATUCK,37549178,37378878,132971,3995448,1951,1098162,1.02
2014,NEW BRITAIN,146054960,145779921,477128,17997660,7734,4944005,4.6
2014,NEW CANAAN,2999412,2970058,10500,311364,198,85623,0.08
2014,NEW FAIRFIELD,5908162,5862092,20725,564540,323,155248,0.14
2014,NEW HARTFORD,3850497,3836106,12444,369228,214,101538,0.09
2014,NEW HAVEN,212401953,212130688,715794,27300135,12175,7495172,6.97
2014,NEWINGTON,22059711,21952400,80342,1936818,1169,531963,0.49
2014,NEW LONDON,51842581,51720951,168395,6703602,2875,1835545,1.71
2014,NEW MILFORD,20092519,19988330,64326,1916589,1079,526230,0.49
2014,NEWTOWN,8437097,8364694,26926,797574,517,218476,0.2
2014,NORFOLK,1212001,1206093,2751,135932,82,37381,0.03
2014,NORTH BRANFORD,7504545,7443977,22514,680572,419,186776,0.17
2014,NORTH CANAAN,938149,936135,2045,79177,46,21773,0.02
2014,NORTH HAVEN,12174474,12100924,44703,1025986,723,281630,0.26
2014,NORTH STONINGTON,3768215,3759517,11608,364881,195,101260,0.09
2014,NORWALK,83854577,83608006,287399,8809471,4707,2415514,2.25
2014,NORWICH,70517040,70286539,216270,8746128,3810,2403578,2.24
2014,OLD LYME,3780185,3759097,15395,295681,200,81312,0.08
2014,OLD SAYBROOK,4889917,4838579,18631,463403,283,127226,0.12
2014,ORANGE,4498288,4464138,8876,456886,271,125644,0.12
2014,OXFORD,5267736,5227580,16275,433629,307,119424,0.11
2014,PLAINFIELD,19510013,19414283,61816,2026673,977,558499,0.52
2014,PLAINVILLE,16018664,15933302,63418,1354346,789,372443,0.35
2014,PLYMOUTH,10629809,10580199,34051,978652,565,269130,0.25
2014,POMFRET,2776688,2773241,8658,244080,145,67124,0.06
2014,PORTLAND,5190017,5174722,17683,515447,289,142418,0.13
2014,PRESTON,3457055,3409348,8612,346011,183,94996,0.09
2014,PROSPECT,4297463,4267403,12496,375649,238,103214,0.1
2014,PUTNAM,12524482,12475217,37271,1333157,682,366395,0.34
2014,REDDING,1823822,1813657,3584,163066,123,44844,0.04
2014,RIDGEFIELD,4792395,4759410,14347,450320,301,123837,0.12
2014,ROCKY HILL,9868331,9841826,40913,842986,575,231634,0.22
2014,ROXBURY,904986,886509,3812,56048,53,15413,0.01
2014,SALEM,2415498,2363306,7676,216094,125,59425,0.06
2014,SALISBURY,2110858,2107418,7745,189982,116,52246,0.05
2014,SCOTLAND,504928,503352,2060,42187,25,11601,0.01
2014,SEYMOUR,13733746,13655100,43920,1367423,745,376040,0.35
2014,SHARON,1406844,1396453,2676,150994,87,41525,0.04
2014,SHELTON,23741747,23570479,75549,2327991,1321,640221,0.6
2014,SHERMAN,1520368,1512668,2250,146906,85,40400,0.04
2014,SIMSBURY,8611167,8556978,29831,741661,463,203739,0.19
2014,SOMERS,4648102,4615480,16549,418728,276,115150,0.11
2014,SOUTHBURY,6218512,6157990,20131,536834,383,147630,0.14
2014,SOUTHINGTON,26394210,26291315,97001,2357359,1436,647281,0.6
2014,SOUTH WINDSOR,11857737,11791984,40937,1100725,648,302702,0.28
2014,SPRAGUE,4195460,4178822,15856,451841,214,124256,0.12
2014,STAFFORD,11168304,11136332,38538,1131867,594,311262,0.29
2014,STAMFORD,115217531,114867720,399184,11991305,6337,3289761,3.06
2014,STERLING,3970821,3951232,15800,376647,192,104412,0.1
2014,STONINGTON,15235812,15121070,44583,1544390,901,424710,0.4
2014,STRATFORD,54900925,54682394,186154,5676525,2875,1553760,1.45
2014,SUFFIELD,5741618,5710187,19779,516502,321,142039,0.13
2014,THOMASTON,6443695,6397118,20651,575819,344,158350,0.15
2014,THOMPSON,8687124,8650539,19496,826186,448,225960,0.21
2014,TOLLAND,5092791,5061545,19247,469439,287,129096,0.12
2014,TORRINGTON,43757682,43628624,148544,4539211,2365,1247266,1.16
2014,TRUMBULL,13708703,13611497,42337,1236667,782,337512,0.31
2014,UNION,171684,168821,503,13820,12,3800,0
2014,VERNON,31004797,30896054,98582,3247828,1703,891706,0.83
2014,VOLUNTOWN,2072895,2054736,5603,224912,108,61852,0.06
2014,WALLINGFORD,32048004,31931263,106361,3027377,1696,831053,0.77
2014,WARREN,575486,567384,2887,37020,29,10181,0.01
2014,WASHINGTON,1944790,1929740,5063,172449,114,47424,0.04
2014,WATERBURY,224165907,223651638,638302,29411802,12241,8057465,7.5
2014,WATERFORD,14528402,14373931,54730,1366912,767,375777,0.35
2014,WATERTOWN,17334638,17258204,59474,1604373,906,440806,0.41
2014,WESTBROOK,3830692,3811329,11381,375020,246,103131,0.1
2014,WEST HARTFORD,38843756,38697290,117285,3973350,2112,1093808,1.02
2014,WEST HAVEN,78582520,78310459,260172,8625073,4188,2369702,2.2
2014,WESTON,1390862,1371942,3988,115419,93,31741,0.03
2014,WESTPORT,4211047,4145141,9220,512774,361,141013,0.13
2014,WETHERSFIELD,17995404,17924595,64366,1754423,1015,481932,0.45
2014,WILLINGTON,3000423,2982340,7105,306224,181,83884,0.08
2014,WILTON,2549210,2521710,11346,298374,213,82055,0.08
2014,WINCHESTER,13428939,13345888,50923,1349859,728,371207,0.35
2014,WINDHAM,39938285,39839042,139408,4644265,2119,1273127,1.18
2014,WINDSOR,30715885,30622009,118125,2873897,1563,790525,0.74
2014,WINDSOR LOCKS,13012624,12960183,48082,1186510,667,326839,0.3
2014,WOLCOTT,11411705,11318064,40021,1088025,613,299206,0.28
2014,WOODBRIDGE,3069410,3041814,11553,263288,160,72978,0.07
2014,WOODBURY,4504308,4496482,15843,392319,256,107887,0.1
2014,WOODSTOCK,5128818,5135735,20135,469766,274,130648,0.12
2013,ANDOVER,1401188,1387251,5024,130334,78,32584,0.03
2013,ANSONIA,29023937,28933452,96788,3238209,1566,809121,0.85
2013,ASHFORD,3782030,3768919,10602,405151,193,101291,0.11
2013,AVON,3586853,3542993,12605,374994,254,93750,0.1
2013,BARKHAMSTED,2097328,2089955,6642,180322,122,45081,0.05
2013,BEACON FALLS,3951277,3890782,13943,321652,201,80114,0.08
2013,BERLIN,10585879,10549129,35756,896793,588,224976,0.24
2013,BETHANY,1737786,1730686,3531,178298,117,44576,0.05
2013,BETHEL,12594781,12515569,42806,1168551,645,292143,0.31
2013,BETHLEHEM,1682210,1669378,7149,169930,116,42484,0.04
2013,BLOOMFIELD,24636260,24523505,83032,2312759,1253,578130,0.61
2013,BOLTON,2398295,2367235,7495,205873,130,51469,0.05
2013,BOZRAH,2252899,2241454,6018,200091,121,50023,0.05
2013,BRANFORD,16988254,16885129,46406,1660166,1059,415048,0.44
2013,BRIDGEPORT,297755687,297081336,827297,36765890,16069,9188020,9.64
2013,BRIDGEWATER,413785,413227,1067,36430,34,9108,0.01
2013,BRISTOL,67193522,66957956,196183,7291008,3589,1821885,1.91
2013,BROOKFIELD,7287608,7254687,29103,559386,396,139847,0.15
2013,BROOKLYN,7564136,7521719,23621,707764,400,176943,0.19
2013,BURLINGTON,3378495,3347691,9924,291281,184,72820,0.08
2013,CANAAN,4233250,4227826,11749,423452,219,105866,0.11
2013,CANTERBURY,4174342,4157331,12117,367184,211,91798,0.1
2013,CANTON,3213740,3174468,10425,358673,259,89670,0.09
2013,CHAPLIN,2228787,2192439,7411,217400,120,54351,0.06
2013,CHESHIRE,10159075,10069707,30170,852288,571,213075,0.22
2013,CHESTER,2150278,2140196,4544,227109,135,56777,0.06
2013,CLINTON,8274650,8232145,23872,843396,503,210851,0.22
2013,COLCHESTER,10899999,10814951,39887,977601,564,244382,0.26
2013,COLEBROOK,181127,180245,0,18940,14,4735,0
2013,COLUMBIA,2887231,2876355,9601,229444,154,57361,0.06
2013,CORNWALL,1695178,1693888,4650,165028,101,41258,0.04
2013,COVENTRY,7943323,7850608,23473,699359,430,174841,0.18
2013,CROMWELL,7291513,7253949,20778,743296,421,185825,0.19
2013,DANBURY,90349309,90047347,259275,9384194,4630,2348219,2.46
2013,DARIEN,1684508,1646293,10812,290010,195,71909,0.08
2013,DEEP RIVER,2535551,2531061,8416,219800,154,54951,0.06
2013,DERBY,14986083,14918346,42779,1666019,828,416512,0.44
2013,DURHAM,2529459,2497984,9305,219568,153,54892,0.06
2013,EASTFORD,2632458,2617121,6493,249031,137,62258,0.07
2013,EAST GRANBY,4823226,4766841,14079,416694,252,104175,0.11
2013,EAST HADDAM,6912126,6887546,20065,616257,378,154067,0.16
2013,EAST HAMPTON,99868550,99597446,328424,10944507,5015,2734695,2.87
2013,EAST HARTFORD,28722891,28534143,91873,2740391,1556,683749,0.72
2013,EAST HAVEN,9436893,9403233,28456,947074,526,235492,0.25
2013,EAST LYME,11072233,11044995,38710,1045477,582,261340,0.27
2013,EASTON,1118113,1128986,4432,91821,49,22955,0.02
2013,EAST WINDSOR,1254116,1238521,2501,124181,89,31046,0.03
2013,ELLINGTON,7454296,7417230,22507,672343,409,168087,0.18
2013,ENFIELD,36026297,35836451,113936,3597157,1929,899701,0.94
2013,ESSEX,3076553,3070167,12347,283457,173,70864,0.07
2013,FAIRFIELD,18873595,18739911,51087,1811684,1166,453605,0.48
2013,FARMINGTON,10362265,10311029,31928,974387,601,244291,0.26
2013,FRANKLIN,1321340,1306050,3138,97320,57,24330,0.03
2013,GLASTONBURY,13393876,13342065,47152,1185380,739,295329,0.31
2013,GOSHEN,1614603,1599386,5261,123890,85,30972,0.03
2013,GRANBY,3591601,3578172,11916,341271,205,85320,0.09
2013,GREENWICH,21106586,21037227,73285,2188330,1318,547502,0.57
2013,GRISWOLD,16628363,16534261,55240,1642668,844,411673,0.43
2013,GROTON,30237561,30099492,99524,3491306,1654,872566,0.92
2013,GUILFORD,8350259,8300517,25111,681977,504,170447,0.18
2013,HADDAM,4214857,4176965,12395,365306,226,91327,0.1
2013,HAMDEN,49204219,49080645,160997,5087746,2603,1274116,1.34
2013,HAMPTON,1785978,1752350,4049,178759,102,44691,0.05
2013,HARTFORD,293678135,293142590,908898,38063772,16172,9518157,9.98
2013,HARTLAND,974850,967313,2251,77648,50,19412,0.02
2013,HARWINTON,2554631,2545559,8369,201128,130,50283,0.05
2013,HEBRON,4476800,4437795,15697,341234,224,85311,0.09
2013,KENT,1354648,1345943,4124,165357,101,41339,0.04
2013,KILLINGLY,22141320,22013550,64860,2371714,1164,592888,0.62
2013,KILLINGWORTH,1269914,1269480,4222,157063,124,39267,0.04
2013,LEBANON,5011664,4990703,18711,448571,257,112144,0.12
2013,LEDYARD,12346309,11985077,38728,1163407,643,291176,0.31
2013,LISBON,359637,355613,409,52835,22,13209,0.01
2013,LITCHFIELD,4719757,4693604,15300,436375,272,109096,0.11
2013,LYME,56416,55328,67,7865,11,1966,0
2013,MADISON,4549881,4509792,14266,354028,303,88509,0.09
2013,MANCHESTER,71526405,71332728,234835,7522159,3752,1879950,1.97
2013,MANSFIELD,7674544,7655284,30435,654509,392,163629,0.17
2013,MARLBOROUGH,2637268,2619230,8204,243550,140,60888,0.06
2013,MERIDEN,96761557,96411346,317904,10988092,4997,2745888,2.88
2013,MIDDLEBURY,3194346,3165009,8727,296880,177,74222,0.08
2013,MIDDLEFIELD,2350207,2327938,6449,213435,129,53360,0.06
2013,MIDDLETOWN,45936214,45805237,156353,4974897,2519,1243712,1.3
2013,MILFORD,29812936,29620866,94209,2804870,1760,701168,0.74
2013,MONROE,7344343,7283087,23438,591042,430,147764,0.15
2013,MONTVILLE,19849290,19761188,67760,1848803,973,462194,0.48
2013,MORRIS,1564119,1549740,4313,129309,87,32327,0.03
2013,NAUGATUCK,36531438,36326202,103981,3906977,1894,976655,1.02
2013,NEW BRITAIN,143687029,143281900,458836,17541701,7593,4384361,4.6
2013,NEW CANAAN,2090787,2067159,5425,277880,207,69470,0.07
2013,NEW FAIRFIELD,6342064,6307315,16805,583253,330,145815,0.15
2013,NEW HARTFORD,4178212,4159654,13081,367679,230,91921,0.1
2013,NEW HAVEN,211343245,210946058,648443,26530134,11914,6631557,6.96
2013,NEWINGTON,50092215,49959436,148774,6437937,2777,1609480,1.69
2013,NEW LONDON,20275415,20153507,62284,1892740,1067,473025,0.5
2013,NEW MILFORD,20583314,20471962,61319,1866415,1105,467730,0.49
2013,NEWTOWN,9217164,9146756,28546,849958,539,212492,0.22
2013,NORFOLK,1284470,1283121,3930,109424,77,27356,0.03
2013,NORTH BRANFORD,7678540,7606137,21645,681797,419,170452,0.18
2013,NORTH CANAAN,641661,641368,1454,58991,32,14748,0.02
2013,NORTH HAVEN,12608057,12561251,43733,1085346,748,272388,0.29
2013,NORTH STONINGTON,3608429,3592021,10356,336733,211,84183,0.09
2013,NORWALK,83448680,83207372,260242,8790666,4617,2196752,2.3
2013,NORWICH,69890276,69628107,218347,8333488,3712,2080665,2.18
2013,OLD LYME,3770908,3746412,10222,359137,247,89787,0.09
2013,OLD SAYBROOK,4322871,4280097,16783,464867,294,116217,0.12
2013,ORANGE,4756715,4728227,11745,399646,273,99496,0.1
2013,OXFORD,5050524,5015915,13105,448093,290,112025,0.12
2013,PLAINFIELD,19667194,19555316,62580,1966755,971,491595,0.52
2013,PLAINVILLE,15339916,15258246,52133,1365580,804,342620,0.36
2013,PLYMOUTH,10866851,10829748,35424,1033136,575,258287,0.27
2013,POMFRET,2726510,2724661,5757,266026,146,66508,0.07
2013,PORTLAND,4998365,4974113,16404,503977,272,125996,0.13
2013,PRESTON,3336654,3319691,9441,321930,187,80485,0.08
2013,PROSPECT,4788621,4773018,11752,438799,278,109701,0.12
2013,PUTNAM,12275244,12232726,34143,1290679,640,322680,0.34
2013,REDDING,1548316,1529773,4314,135144,120,33786,0.04
2013,RIDGEFIELD,5075824,5030872,18939,420679,292,105172,0.11
2013,ROCKY HILL,9903439,9878020,27752,868001,572,217000,0.23
2013,ROXBURY,975556,948445,2612,72286,54,18072,0.02
2013,SALEM,1981135,1947354,4842,171895,108,42974,0.05
2013,SALISBURY,1849073,1846641,5351,177128,114,44282,0.05
2013,SCOTLAND,541298,538559,1810,75534,38,18884,0.02
2013,SEYMOUR,13922677,13849984,44233,1305848,715,327478,0.34
2013,SHARON,1222025,1206619,1344,141471,84,35368,0.04
2013,SHELTON,22909232,22800588,72336,2289196,1322,572307,0.6
