Tax Year,Town,Fed AGI,CT AGI,CT Income Tax ,Federal EITC Claimed,Number of EITC Credits Claimed,Amount of EITC Claimed,Percentage By Town
2017,NEW HARTFORD,3907536,3893083,16829,317043,214,72920,0.08
2017,NEW HAVEN,223640123,223317072,929007,28999685,12220,6674803,7.11
2017,NEWINGTON,23234128,23152737,110771,2128503,1152,489555,0.52
2017,NEW LONDON,55853920,55720918,219942,6847433,2925,1580123,1.68
2017,NEW MILFORD,21574471,21444453,104023,2010151,1143,462337,0.49
2017,NEWTOWN,6752304,6724472,38375,805646,536,185233,0.2
2017,NORFOLK,921616,921656,3407,119314,63,27442,0.03
2017,NORTH BRANFORD,7096831,7071055,35927,633338,392,145669,0.16
2017,NORTH CANAAN,739990,738534,3457,64804,42,14905,0.02
2017,NORTH HAVEN,12793474,12702452,64634,1195520,747,276213,0.29
2017,NORTH STONINGTON,3170448,3143965,16464,283745,164,65261,0.07
2017,NORWALK,87262029,87063100,378487,9353814,4741,2152039,2.29
2017,NORWICH,74809172,74528913,332379,8568844,3733,1971288,2.1
2017,OLD LYME,2921630,2875496,11862,314932,177,72435,0.08
2017,OLD SAYBROOK,4994477,4971222,24696,429759,272,98844,0.11
2017,ORANGE,4641312,4619894,20900,441242,264,102151,0.11
2017,OXFORD,5030552,5002399,26748,410545,266,94425,0.1
2017,PLAINFIELD,20544429,20458423,93291,2139437,1002,493362,0.53
2017,PLAINVILLE,16420148,16349821,71094,1481683,864,340157,0.36
2017,PLYMOUTH,11122739,11078816,50639,1118115,551,257169,0.27
2017,POMFRET,2392429,2386912,9794,234927,130,54032,0.06
2017,PORTLAND,5167473,5155028,17512,567476,286,130520,0.14
2017,PRESTON,3899272,3852990,24039,335004,187,77050,0.08
2017,PROSPECT,4756261,4719469,22791,396431,248,91511,0.1
2017,PUTNAM,13074788,13053954,50921,1333026,672,307186,0.33
2017,REDDING,2082789,2059226,9931,158942,132,36557,0.04
2017,RIDGEFIELD,4748775,4720556,18023,436725,319,100447,0.11
2017,ROCKY HILL,9980503,9955981,53906,987600,550,227418,0.24
2017,ROXBURY,1126694,1114354,5161,77303,56,17780,0.02
2017,SALEM,2264085,2240034,7408,200396,128,46091,0.05
2017,SALISBURY,1912813,1901572,10149,185106,110,42575,0.05
2017,SCOTLAND,513869,513302,3358,25250,23,7100,0.01
2017,SEYMOUR,16520305,16443788,72863,1544244,810,353578,0.38
2017,SHARON,1466663,1466694,4244,140513,89,32318,0.03
2017,SHELTON,26364370,26295419,118382,2534278,1388,582884,0.62
2017,SHERMAN,1299110,1322500,4172,131558,76,30258,0.03
2017,SIMSBURY,9328715,9223158,41765,879249,487,201610,0.21
2017,SOMERS,3973037,3949913,15224,384172,228,88359,0.09
2017,SOUTHBURY,6110676,6052083,22213,585137,387,134579,0.14
2017,SOUTHINGTON,25971222,25859503,112344,2409914,1336,553634,0.59
2017,SOUTH WINDSOR,12229004,12157754,59555,1100405,658,253089,0.27
2017,SPRAGUE,4977470,4971835,27742,491210,247,112979,0.12
2017,STAFFORD,11007495,10965272,49098,1065576,563,245082,0.26
2017,STAMFORD,119785926,119414213,506279,12646566,6333,2911781,3.1
2017,STERLING,3713762,3699832,20383,360920,176,83012,0.09
2017,STONINGTON,16427072,16334156,64622,1623802,891,373948,0.4
2017,STRATFORD,58430324,58195649,268062,6015490,2939,1384329,1.47
2017,SUFFIELD,6418585,6367682,30585,543405,342,124983,0.13
2017,THOMASTON,6447690,6416363,30302,565526,341,130071,0.14
2017,THOMPSON,8463891,8408677,25387,809141,419,185743,0.2
2017,TOLLAND,5748438,5707406,29185,442285,286,101720,0.11
2017,TORRINGTON,48034550,47920946,210741,4954610,2478,1139555,1.21
2017,TRUMBULL,14573542,14518510,69950,1319652,786,303518,0.32
2017,UNION,264401,262975,971,26314,14,6052,0.01
2017,VERNON,31962881,31854861,136796,3475997,1690,800435,0.85
2017,VOLUNTOWN,2149034,2124310,10713,217582,114,50042,0.05
2017,WALLINGFORD,31554924,31413168,144437,2970590,1628,683232,0.73
2017,WARREN,514432,513618,1818,63471,31,14598,0.02
2017,WASHINGTON,2177321,2166618,11535,160572,101,36932,0.04
2017,WATERBURY,245536109,245044417,991090,31873081,12908,7334788,7.81
2017,WATERFORD,14132954,14058998,69665,1313263,717,302049,0.32
2017,WATERTOWN,18167448,18093841,90672,1600102,894,368770,0.39
2017,WESTBROOK,3927037,3908369,11885,381897,252,87837,0.09
2017,WEST HARTFORD,38830431,38694328,169484,3985014,2058,920886,0.98
