Tax Year,Municipality,Number of Returns,CT Income Tax,Pass-Through Entity Tax (PET) Credit Claimed,Combined CT Income Tax and PET Credit
2015,ANDOVER,1498,5404333.00,,
2015,ANSONIA,8619,15276355.00,,
2015,ASHFORD,2112,5497095.00,,
2015,AVON,8361,85485184.00,,
2015,BARKHAMSTED,1793,5961156.00,,
2015,BEACON FALLS,2820,8329033.00,,
2015,BERLIN,10021,38842493.00,,
2015,BETHANY,2397,13537388.00,,
2015,BETHEL,8657,26778122.00,,
2015,BETHLEHEM,1648,5575338.00,,
2015,BLOOMFIELD,10750,35172834.00,,
2015,BOLTON,2351,10301795.00,,
2015,BOZRAH,1194,3455854.00,,
2015,BRANFORD,14144,58571911.00,,
2015,BRIDGEPORT,59246,59200924.00,,
2015,BRIDGEWATER,783,5616521.00,,
2015,BRISTOL,28518,64129600.00,,
2015,BROOKFIELD,7896,32729473.00,,
2015,BROOKLYN,3350,7924397.00,,
2015,BURLINGTON,4224,24348800.00,,
2015,CANAAN,1732,3468291.00,,
2015,CANTERBURY,2287,5237828.00,,
2015,CANTON,4629,26369747.00,,
2015,CHAPLIN,983,2158328.00,,
2015,CHESHIRE,12241,67954800.00,,
2015,CHESTER,1855,7575384.00,,
2015,CLINTON,6241,23900204.00,,
2015,COLCHESTER,7449,26116776.00,,
2015,COLEBROOK,498,1554511.00,,
2015,COLUMBIA,2613,9267192.00,,
2015,CORNWALL,736,2773654.00,,
2015,COVENTRY,5812,19654251.00,,
2015,CROMWELL,7020,28735102.00,,
2015,DANBURY,35981,71453560.00,,
2015,DARIEN,8261,199806652.00,,
2015,DEEP RIVER,2209,13547950.00,,
2015,DERBY,5896,11448191.00,,
2015,DURHAM,3365,20531535.00,,
2015,EASTFORD,682,1814291.00,,
2015,EAST GRANBY,2472,9896488.00,,
2015,EAST HADDAM,3797,15305704.00,,
2015,EAST HAMPTON,6056,22418555.00,,
2015,EAST HARTFORD,24317,34986675.00,,
2015,EAST HAVEN,13385,30634133.00,,
2015,EAST LYME,8302,34687768.00,,
2015,EASTON,3158,31800534.00,,
2015,EAST WINDSOR,5510,13136116.00,,
2015,ELLINGTON,7509,31746750.00,,
2015,ENFIELD,19695,40634279.00,,
2015,ESSEX,3219,23507026.00,,
2015,FAIRFIELD,24037,200871026.00,,
2015,FARMINGTON,12017,81299784.00,,
2015,FRANKLIN,911,2617736.00,,
2015,GLASTONBURY,15681,112636562.00,,
2015,GOSHEN,1320,6329607.00,,
2015,GRANBY,4976,26255555.00,,
2015,GREENWICH,26471,650278422.00,,
2015,GRISWOLD,5533,11169441.00,,
2015,GROTON,11373,25656481.00,,
2015,GUILFORD,9999,67013872.00,,
2015,HADDAM,3848,17147150.00,,
2015,HAMDEN,25207,75967233.00,,
2015,HAMPTON,1093,2857793.00,,
2015,HARTFORD,48890,51036073.00,,
2015,HARTLAND,816,2671321.00,,
2015,HARWINTON,2488,9840202.00,,
2015,HEBRON,4173,19324454.00,,
2015,KENT,1294,5041993.00,,
2015,KILLINGLY,7741,12277839.00,,
2015,KILLINGWORTH,2813,14962345.00,,
2015,LEBANON,3235,9555307.00,,
2015,LEDYARD,6684,18966430.00,,
2015,LISBON,1671,4410340.00,,
2015,LITCHFIELD,3831,19492047.00,,
2015,LYME,926,9442865.00,,
2015,MADISON,7963,61856832.00,,
2015,MANCHESTER,28179,72050315.00,,
2015,MANSFIELD,5415,23070524.00,,
2015,MARLBOROUGH,2822,14070154.00,,
2015,MERIDEN,27235,50407193.00,,
2015,MIDDLEBURY,3339,21424082.00,,
2015,MIDDLEFIELD,2040,7956353.00,,
2015,MIDDLETOWN,20942,56008120.00,,
2015,MILFORD,25635,118052967.00,,
2015,MONROE,8743,42105708.00,,
2015,MONTVILLE,8319,18585054.00,,
2015,MORRIS,1035,4091300.00,,
2015,NAUGATUCK,14380,29765161.00,,
2015,NEW BRITAIN,31104,36624164.00,,
2015,NEW CANAAN,7962,218726307.00,,
2015,NEW FAIRFIELD,6097,20625961.00,,
2015,NEW HARTFORD,3262,13084321.00,,
2015,NEW HAVEN,48740,89753561.00,,
2015,NEWINGTON,15274,42278963.00,,
2015,NEW LONDON,11150,14208131.00,,
2015,NEW MILFORD,12813,37417012.00,,
2015,NEWTOWN,11621,68645347.00,,
2015,NORFOLK,709,3138751.00,,
2015,NORTH BRANFORD,6867,23407377.00,,
